Data Series,"2000,","2001,",2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
  65 Years & Over,"235,296","243,639","251,024","248,638","264,541","279,693","294,726","305,586","315,790","330,132","338,387","352,645","378,636","404,437","431,601","459,715","487,570","516,692","547,854","581,680","614,368","639,008","678,133"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Youths aged 19 & Below,928917,934943,938369,930145,930036,930240,932712,935757,934163,930626,918159,897642,885178,870309,855292,845317,835935,827454,817644,813278,803440,782101,788573
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
{,,,,,,,,,,,,,,,,,,,,,,,
x,2002,,,,,,,,,,,,,,,,,,,,,,
y: ,"251,024",,,,,,,,,,,,,,,,,,,,,,