Area,Year 2000,Year 2020
TOTAL RESIDENT POPULATION,3273363,4044210
Ang Mo Kio- Total,180634,162280
  Ang Mo Kio Town Centre,0,4810
  Cheng San,32029,28070
  Chong Boon,32943,26500
  Kebun Bahru,26808,22620
  Sembawang Hills,0,6850
  Shangri0La,21800,15960
  Tagore,0,7950
  Townsville,21623,21140
  Yio Chu Kang,29914,20
  Yio Chu Kang East,0,4200
  Yio Chu Kang North,0,0
  Yio Chu Kang West,0,24150
  Others,8306,0
Bedok- Total,284969,276990
  Bayshore,0,7450
  Bedok North,87475,81840
  Bedok Reservoir,20041,25470
  Bedok South,54449,46690
  Frankel,30838,34490
  Kaki Bukit,43483,37150
  Kembangan,37270,37460
  Siglap,0,6440
  Others,11413,0
Bishan- Total,89974,87320
  Bishan East,30858,28310
  Marymount,28324,29620
  Upper Thomson,30792,29390
Boon Lay- Total,19296,40
  Liu Fang,0,10
  Samulun,0,10
  Shipyard,0,0
  Tukang,0,10
Bukit Batok- Total,126643,158030
  Brickworks,0,19820
  Bukit Batok Central,24352,27290
  Bukit Batok East,15684,12690
  Bukit Batok South,13660,14930
  Bukit Batok West,16180,15000
  Gombak,0,9930
  Guilin,0,12940
  Hillview,15683,19300
  Hong Kah North,28932,26150
  Others,12152,0
Bukit Merah- Total,148451,151250
  Alexandra Hill,15114,13490
  Alexandra North,0,2620
  Bukit Ho Swee,19756,14390
  Bukit Merah,0,1110
  City Terminals,0,20
  Depot Road,0,6540
  Everton Park,0,7810
  Henderson Hill,16991,13320
  Kampong Tiong Bahru,13038,9010
  Maritime Square,0,3620
  Redhill,11639,10620
  Singapore General Hospital,0,10
  Telok Blangah Drive,17044,19320
  Telok Blangah Rise,16489,12150
  Telok Blangah Way,10155,9230
  Tiong Bahru,8002,12890
  Tiong Bahru Station,0,15120
  Others,20223,0
Bukit Panjang- Total,96559,138270
  Bangkit,25957,22270
  Dairy Farm,0,6940
  Fajar,16794,27820
  Jelebu,0,31310
  Nature Reserve,0,3850
  Saujana,17843,25920
  Senja,0,20170
 Others,8334,0
Bukit Timah- Total,64318,77860
  Anak Bukit,20958,21870
  Coronation Road,0,6690
  Farrer Court,0,6180
  Hillcrest,0,9470
  Holland Road,0,10840
  Leedon Park,0,6440
  Swiss Club,0,5340
  Ulu Pandan,9752,11020
  Others,33608,0
Central Water Catchment- Total,0,0
  Central Water Catchment,0,0
Changi0 Total,1091,1850
  Changi Airport,0,10
  Changi Point,0,540
  Changi West,0,1300
Changi Bay- Total,0,0
  Changi Bay,0,0
Choa Chu Kang- Total,136808,192070
  Choa Chu Kang Central,18148,22530
  Choa Chu Kang North,0,31930
  Keat Hong,13800,38180
  Peng Siang,28285,34720
  Teck Whye,26523,24320
  Yew Tee,24074,40390
   Kranji North,14537,0
   Pang Sua,11441,0
Clementi- Total,90978,91990
  Clementi Central,11817,14000
  Clementi North,27595,28810
  Clementi West,17075,15260
  Clementi Woods,21252,16000
  Faber,0,5360
  Pandan,0,20
  Sunset Way,0,5650
  Toh Tuck,0,20
  West Coast,0,6870
  Others,13239,0
Downtown Core- Total,4618,3190
  Anson,0,80
  Bayfront Subzone,0,0
  Bugis,0,890
  Cecil,0,260
  Central Subzone,0,880
  City Hall,0,80
  Clifford Pier,0,0
  Marina Centre,0,10
  Maxwell,0,0
  Nicoll,0,290
  Phillip,0,10
  Raffles Place,0,40
  Tanjong Pagar,0,670
Geylang,118908,110110
   Aljunied,44655,39990
   Geylang East,31007,29920
  Kallang Way,0,30
  Kampong Ubi,0,11800
  Macpherson,29546,28360
  Others,13700,0
Hougang- Total,204073,227560
  Defu Industrial Park,0,20
  Hougang Central,49862,4720
  Hougang East,0,24920
  Hougang West,0,45460
  Kangkar,0,32290
  Kovan,0,24810
  Lorong Ah Soo,36718,32320
  Lorong Halus,0,0
  Tai Seng,0,13830
  Trafalgar,83751,49200
  Rosyth,20940,0
  Others,12802,0
Jurong East- Total,89089,78600
  International Business Park,0,10
  Jurong Gateway,0,450
  Jurong Port,0,0
  Jurong River,0,10
  Lakeside (Business),0,0
  Lakeside (Leisure),0,1070
  Penjuru Crescent,0,10
  Teban Gardens,20358,18530
  Toh Guan,0,14590
  Yuhua East,0,24770
  Yuhua West,0,19160
  Yuhua,31099,0
  Others,37632,0
Jurong West- Total,204750,262730
  Boon Lay Place,0,29340
  Chin Bee,0,0
  Hong Kah,57589,53890
  Jurong West Central,29159,63760
  Kian Teck,0,40
  Safti,0,0
  Taman Jurong,29406,39920
  Wenya,0,8280
  Yunnan,62895,67500
  Others,25701,0
Kallang- Total,92222,101290
  Bendemeer,30990,37570
  Boon Keng,10530,11790
  Crawford,9954,8380
  Geylang Bahru,13848,11280
  Kallang Bahru,0,20
  Kampong Bugis,0,920
  Kampong Java,9894,10530
  Lavender,7991,9690
  Tanjong Rhu,0,11110
  Others,9015,0
Lim Chu Kang- Total,0,110
  Lim Chu Kang,0,110
Mandai- Total,0,2090
  Mandai East,0,0
  Mandai Estate,0,2090
  Mandai West,0,0
Marina East- Total,0,0
  Marina East,0,0
Marina South- Total,0,0
  Marina South,0,0
Marine Parade- Total,46260,46220
  East Coast,0,0
  Katong,0,9360
  Marina East (Mp),0,0
  Marine Parade,29551,26880
  Mountbatten,8983,9980
  Others,7726,0
Museum- Total,0,510
  Bras Basah,0,10
  Dhoby Ghaut,0,320
  Fort Canning,0,190
Newton- Total,6114,8260
  Cairnhill,0,3880
  Goodwood Park,0,1260
  Istana Negara,0,60
  Monk's Hill,0,1030
  Newton Circus,0,250
  Orange Grove,0,1790
North0Eastern Islands- Total,0,50
  North0Eastern Islands,0,50
Novena- Total,42839,49330
  Balestier,31503,32430
  Dunearn,0,3960
  Malcolm,0,2950
  Moulmein,0,9300
  Mount Pleasant,0,690
  Others,11336,0
Orchard- Total,0,920
  Boulevard,0,410
  Somerset,0,140
  Tanglin,0,370
Outram- Total,22199,18340
  China Square,0,1430
  Chinatown,0,10490
  Pearl's Hill,11153,6120
  People's Park,0,290
  Others,11046,0
Pasir Ris- Total,116682,147110
  Flora Drive,0,14680
  Loyang East,0,2140
  Loyang West,0,220
  Pasir Ris Central,0,32240
  Pasir Ris Drive,58663,54420
  Pasir Ris Park,0,7620
  Pasir Ris Wafer Fab Park,0,10
  Pasir Ris West,0,35790
  Elias,29096,0
  Pasir Ris Town,20285,0
  Others,8638,0
Paya Lebar- Total,0,40
  Airport Road,0,0
  Paya Lebar East,0,10
  Paya Lebar North,0,30
  Paya Lebar West,0,0
  Plab,0,0
Pioneer- Total,0,80
  Benoi Sector,0,10
  Gul Basin,0,10
  Gul Circle,0,20
  Joo Koon,0,30
  Pioneer Sector,0,0
Punggol- Total,0,174450
  Coney Island,0,0
  Matilda,0,52200
  Northshore,0,460
  Punggol Canal,0,0
  Punggol Field,0,48960
  Punggol Town Centre,0,22260
  Waterway East,0,50580
Queenstown- Total,97863,95930
  Commonwealth,9391,7000
  Dover,11431,11080
  Ghim Moh,12468,13850
  Holland Drive,17755,12680
  Kent Ridge,0,80
  Margaret Drive,0,16090
  Mei Chin,17685,15570
  National University Of S'pore,0,240
  One North,0,720
  Pasir Panjang 1,0,4510
  Pasir Panjang 2,0,3060
  Port,0,120
  Queensway,0,270
  Singapore Polytechnic,0,100
  Tanglin Halt,13868,10590
  Others,15265,0
River Valley- Total,9365,10070
  Institution Hill,0,3150
  Leonie Hill,0,3120
  One Tree Hill,0,2070
  Oxley,0,1490
  Paterson,0,240
Rochor- Total,17944,13120
  Bencoolen,0,1310
  Farrer Park,0,2660
  Kampong Glam,0,120
  Little India,0,3270
  Mackenzie,0,110
  Mount Emily,0,1630
  Rochor Canal,0,0
  Selegie,0,210
  Sungei Road,0,2050
  Victoria,0,1760
Seletar- Total,0,300
  Pulau Punggol Barat,0,0
  Pulau Punggol Timor,0,0
  Seletar,0,280
  Seletar Aerospace Park,0,20
Sembawang- Total,31662,102640
  Admiralty,0,13920
  Sembawang Central,17367,34800
  Sembawang East,0,17340
  Sembawang North,0,25540
  Sembawang Springs,0,9090
  Sembawang Straits,0,1910
  Senoko North,0,10
  Senoko South,0,30
  The Wharves,0,0
  Others,14295,0
Sengkang- Total,61300,249370
  Anchorvale,0,48120
  Compassvale,0,20960
  Fernvale,0,58800
  Lorong Halus North,0,0
  Rivervale,0,59700
  Sengkang Town Centre,0,61790
  Sengkang West,0,10
   Sungei Serangoon West,31060,0
   Others,30240,0
Serangoon- Total,122419,116900
  Lorong Chuan,0,8490
  Seletar Hills,11339,14700
  Serangoon Central,51234,24760
  Serangoon Garden,41936,36080
  Serangoon North,17910,15940
  Serangoon North Ind Estate,0,10
  Upper Paya Lebar,0,16920
Simpang- Total,0,0
  Pulau Seletar,0,0
  Simpang North,0,0
  Simpang South,0,0
  Tanjong Irau,0,0
Singapore River- Total,0,3260
  Boat Quay,0,130
  Clarke Quay,0,130
  Robertson Quay,0,3010
Southern Islands- Total,0,1940
  Sentosa,0,1940
  Southern Group,0,0
Straits View- Total,0,0
  Straits View,0,0
Sungei Kadut- Total,0,750
  Gali Batu,0,30
  Kranji,0,10
  Pang Sua,0,20
  Reservoir View,0,20
  Turf Club,0,670
Tampines- Total,253113,259900
  Simei,0,39450
  Tampines East,137484,130980
  Tampines North,0,8040
  Tampines West,76033,79670
  Xilin,0,1760
  Others,39596,0
Tanglin- Total,13722,21810
  Chatsworth,0,6890
  Nassim,0,9520
  Ridout,0,1520
  Tyersall,0,3880
Tengah- Total,0,10
  Brickland,0,0
  Forest Hill,0,10
  Garden,0,0
  Park,0,0
  Plantation,0,0
  Tengah Industrial Estate,0,0
Toa Payoh- Total,121243,121850
  Bidadari,0,0
  Boon Teck,16892,14660
  Braddell,12151,9810
  Joo Seng,0,8150
  Kim Keat,9393,7960
  Lorong 8 Toa Payoh,0,7160
  Pei Chun,12174,10360
  Potong Pasir,14026,11720
  Sennett,0,7190
  Toa Payoh Central,19438,28020
  Toa Payoh West,0,14360
  Woodleigh,0,2450
   Kallang,9194,0
   Marymount,14939,0
   Others,13036,0
Tuas- Total,0,70
  Tengeh,0,0
  Tuas Bay,0,10
  Tuas North,0,30
  Tuas Promenade,0,10
  Tuas View,0,10
  Tuas View Extension,0,10
Western Islands- Total,0,10
  Jurong Island And Bukom,0,10
  Semakau,0,0
  Sudong,0,0
Western Water Catchment- Total,0,640
  Bahar,0,0
  Cleantech,0,0
  Murai,0,640
Woodlands- Total,188672,255130
  Greenwood Park,0,40
  Midview,29301,35270
  North Coast,0,12100
  Senoko West,0,20
  Woodgrove,28875,33790
  Woodlands East,65591,98980
  Woodlands Regional Centre,0,10
  Woodlands South,21327,41000
  Woodlands West,28163,33910
  Others,15415,0
Yishun- Total,177206,221610
  Khatib,0,10250
  Lower Seletar,0,18660
  Nee Soon,0,890
  Northland,31966,28000
  Springleaf,0,4370
  Yishun Central,0,2620
  Yishun East,30998,60670
  Yishun South,41259,42240
  Yishun West,55851,53910
  Others,17132,0
Others,5399,0
Not Stated,5276,0